name,efficiency
vw rabbit,0.7777777777777778
opel 1900,0.7758620689655172
vw rabbit,0.7755102040816326
toyota corolla,0.7731958762886598
toyota corolla,0.7731958762886598
toyota corolla liftback,0.7731958762886598
datsun 510 hatchback,0.773109243697479
plymouth cricket,0.7692307692307693
volvo 264gl,0.7668711656441718
datsun 210,0.7647058823529411
datsun 210 mpg,0.7647058823529411
datsun 210,0.7647058823529411
pontiac j2000 se hatchback,0.7589285714285714
fiat strada custom,0.7582417582417582
maxda glc deluxe,0.7558139534883721
mazda glc,0.7558139534883721
datsun 310,0.7558139534883721
mazda glc custom l,0.7472527472527473
mazda glc 4,0.7472527472527473
mazda glc custom,0.7472527472527473
plymouth champ,0.7441860465116279
honda civic 1300,0.7407407407407407
honda civic 1500 gl,0.7362637362637363
datsun 310 gx,0.7362637362637363
honda civic,0.7362637362637363
honda civic (auto),0.7362637362637363
datsun 710,0.7349397590361446
toyota starlet,0.7341772151898734
renault 5 gtl,0.7341772151898734
peugeot 504,0.7333333333333333
nissan stanza xe,0.7333333333333333
peugeot 504,0.7333333333333333
volkswagen rabbit,0.7319587628865979
peugeot 504 (sw),0.725
triumph tr7 coupe,0.7213114754098361
buick opel isuzu deluxe,0.7207207207207207
fiat 128,0.7205882352941176
renault 12 (sw),0.71875
toyota corona,0.7164179104477612
mercury lynx l,0.7142857142857143
chevrolet chevette,0.7142857142857143
dodge omni,0.7142857142857143
buick regal sport coupe (turbo),0.7142857142857143
mercedes-benz 280s,0.7142857142857143
toyota corona,0.7089552238805971
toyota celica gt liftback,0.7089552238805971
mercury capri 2000,0.7049180327868853
ford pinto (sw),0.7049180327868853
ford pinto runabout,0.7049180327868853
volkswagen rabbit l,0.7047619047619048
volkswagen jetta,0.7047619047619048
honda prelude,0.7009345794392523
honda accord,0.7009345794392523
opel 1900,0.6982758620689655
ford pinto,0.6967213114754098
toyota tercel,0.6966292134831461
vokswagen rabbit,0.6966292134831461
toyota corolla,0.6944444444444444
toyota corolla,0.6944444444444444
chevrolet chevette,0.6938775510204082
honda accord lx,0.6938775510204082
honda accord cvcc,0.6938775510204082
toyota mark ii,0.6923076923076923
subaru,0.6907216494845361
subaru dl,0.6907216494845361
subaru dl,0.6907216494845361
toyota cressida,0.6904761904761905
mercury capri v6,0.6903225806451613
chevy s-10,0.6890756302521008
toyota corona,0.6842105263157895
toyota corolla tercel,0.6741573033707865
ford fiesta,0.673469387755102
plymouth sapporo,0.6730769230769231
dodge colt,0.6730769230769231
honda accord,0.6728971962616822
toyota corona liftback,0.6716417910447762
toyota celica gt,0.6666666666666666
plymouth horizon tc3,0.6666666666666666
plymouth horizon,0.6666666666666666
mazda glc deluxe,0.6666666666666666
chevrolet citation,0.6647398843930635
oldsmobile omega brougham,0.6647398843930635
datsun 810,0.6643835616438356
ford escort 2h,0.6632653061224489
ford escort 4w,0.6632653061224489
amc spirit dl,0.6611570247933884
dodge d200,0.660377358490566
honda civic cvcc,0.6593406593406593
ford ranger,0.6583333333333333
capri ii,0.6571428571428571
ford fairmont futura,0.6571428571428571
ford pinto,0.6557377049180327
chevy c20,0.6514657980456026
toyota corolla,0.6481481481481481
opel manta,0.646551724137931
fiat 124 tc,0.646551724137931
chevrolet chevette,0.6428571428571429
chevrolet vega,0.6428571428571429
chevrolet vega 2300,0.6428571428571429
chevrolet citation,0.6358381502890174
ford mustang ii 2+2,0.6357142857142857
hi 1200d,0.6348684210526315
ford fairmont,0.6285714285714286
ford fairmont (man),0.6285714285714286
ford fairmont 4,0.6285714285714286
volkswagen 411 (sw),0.628099173553719
mazda 626,0.625
dodge rampage,0.6222222222222222
dodge charger 2.2,0.6222222222222222
dodge aries se,0.6222222222222222
plymouth reliant,0.6222222222222222
plymouth reliant,0.6222222222222222
volkswagen model 111,0.6185567010309279
mazda 626,0.6166666666666667
ford mustang gl,0.6142857142857143
chevrolet woody,0.6122448979591837
chevrolet chevette,0.611764705882353
buick century limited,0.6077348066298343
plymouth horizon miser,0.6
plymouth horizon 4,0.6
ford f250,0.5972222222222222
chevrolet camaro,0.5960264900662252
chevrolet citation,0.5960264900662252
amc concord,0.5960264900662252
pontiac phoenix,0.5960264900662252
pontiac phoenix,0.5960264900662252
buick skylark limited,0.5960264900662252
ford pinto,0.5928571428571429
chrysler lebaron medallion,0.5897435897435898
dodge aries wagon (sw),0.5897435897435898
pontiac sunbird coupe,0.5827814569536424
honda civic,0.5824175824175825
honda civic cvcc,0.5824175824175825
pontiac grand prix,0.575
peugeot 505s turbo diesel,0.5673758865248227
ford pinto,0.5672514619883041
oldsmobile starfire sx,0.5629139072847682
pontiac astro,0.5571428571428572
volkswagen type 3,0.5567010309278351
buick skylark,0.5562913907284768
audi 5000s (diesel),0.5537190082644629
vw pickup,0.5360824742268041
chevrolet vega,0.5357142857142857
volkswagen rabbit custom diesel,0.5333333333333333
vw dasher (diesel),0.5333333333333333
vw rabbit c (diesel),0.5333333333333333
volvo diesel,0.5241379310344828
oldsmobile omega,0.5142857142857142
ford pinto,0.5142857142857142
chevrolet vega,0.5142857142857142
chevrolet vega (sw),0.5142857142857142
cadillac seville,0.5142857142857142
oldsmobile vista cruiser,0.5142857142857142
peugeot 504,0.5035460992907801
buick century 350,0.5
pontiac lemans v6,0.49783549783549785
buick electra 225 custom,0.4945054945054945
buick estate wagon (sw),0.4945054945054945
pontiac catalina,0.4945054945054945
amc matador,0.4934210526315789
amc matador (sw),0.4934210526315789
amc matador (sw),0.4934210526315789
amc ambassador sst,0.4934210526315789
amc rebel sst,0.4934210526315789
dodge aspen 6,0.4888888888888889
dodge aspen,0.4888888888888889
plymouth fury iii,0.48863636363636365
chrysler new yorker brougham,0.48863636363636365
amc hornet,0.48743718592964824
amc ambassador dpl,0.48717948717948717
amc ambassador brougham,0.4861111111111111
chevrolet monte carlo landau,0.4857142857142857
mercury marquis,0.48484848484848486
chevrolet impala,0.4845814977973568
ford granada l,0.4827586206896552
plymouth duster,0.4797979797979798
plymouth duster,0.4797979797979798
plymouth duster,0.4797979797979798
buick century,0.47619047619047616
buick century,0.47619047619047616
buick skyhawk,0.47619047619047616
chevrolet caprice classic,0.47540983606557374
chevrolet monte carlo landau,0.47540983606557374
chevrolet malibu,0.475
chrysler newport royal,0.475
chrysler cordoba,0.475
volkswagen 1131 deluxe sedan,0.4742268041237113
volkswagen super beetle,0.4742268041237113
plymouth custom suburb,0.4722222222222222
plymouth fury gran sedan,0.4716981132075472
dodge coronet brougham,0.4716981132075472
plymouth satellite,0.4716981132075472
plymouth volare premier v8,0.4716981132075472
plymouth fury iii,0.4716981132075472
dodge dart custom,0.4716981132075472
dodge coronet custom (sw),0.4716981132075472
plymouth fury iii,0.4716981132075472
plymouth grand fury,0.4716981132075472
plymouth satellite custom (sw),0.4716981132075472
dodge coronet custom,0.4716981132075472
dodge d100,0.4716981132075472
chevrolet impala,0.4714285714285714
chevrolet impala,0.4714285714285714
buick skylark 320,0.4714285714285714
plymouth 'cuda 340,0.47058823529411764
dodge monaco (sw),0.4699738903394256
chevrolet malibu classic (sw),0.4681647940074906
plymouth satellite custom,0.4666666666666667
plymouth valiant,0.4666666666666667
plymouth satellite sebring,0.4666666666666667
amc concord d/l,0.46511627906976744
ford gran torino (sw),0.46357615894039733
ford torino,0.46357615894039733
ford gran torino (sw),0.46357615894039733
ford gran torino,0.46357615894039733
ford galaxie 500,0.46153846153846156
mercury marquis brougham,0.46153846153846156
ford futura,0.4602649006622517
mercury monarch ghia,0.4602649006622517
chevrolet chevelle malibu classic,0.45901639344262296
mercedes-benz 240d,0.4589041095890411
oldsmobile delta 88 royale,0.45714285714285713
dodge monaco brougham,0.4559748427672956
pontiac phoenix lj,0.45454545454545453
buick skylark,0.45454545454545453
buick century special,0.45454545454545453
ford gran torino,0.45364238410596025
amc gremlin,0.45226130653266333
ford ltd,0.45014245014245013
pontiac grand prix lj,0.45
plymouth valiant,0.4444444444444444
plymouth volare custom,0.4444444444444444
dodge aspen se,0.4444444444444444
plymouth volare,0.4444444444444444
dodge challenger se,0.44386422976501305
buick lesabre custom,0.44285714285714284
buick estate wagon (sw),0.44285714285714284
dodge magnum xe,0.44025157232704404
dodge diplomat,0.44025157232704404
ford granada gl,0.44
pontiac ventura sj,0.44
chevrolet concours,0.44
pontiac safari (sw),0.4375
pontiac catalina brougham,0.4375
pontiac catalina,0.4375
ford galaxie 500,0.4358974358974359
ford galaxie 500,0.4358974358974359
ford gran torino,0.43304843304843305
amc hornet,0.43103448275862066
amc gremlin,0.43103448275862066
amc gremlin,0.43103448275862066
amc hornet,0.43103448275862066
amc matador,0.43103448275862066
amc gremlin,0.43103448275862066
mercury cougar brougham,0.4304635761589404
ford f108,0.4304635761589404
buick century luxus (sw),0.42857142857142855
ford mustang ii,0.4271523178807947
ford ltd landau,0.4271523178807947
amc hornet sportabout (sw),0.4263565891472868
amc matador,0.4263565891472868
amc matador,0.4263565891472868
chevrolet caprice classic,0.4262295081967213
mercury zephyr,0.425
ford country squire (sw),0.425
ford maverick,0.425
ford fairmont (auto),0.425
pontiac catalina,0.425
mercury zephyr 6,0.425
dodge st. regis,0.42452830188679247
ford thunderbird,0.42450142450142453
chevrolet chevelle malibu,0.4234527687296417
chevrolet chevelle concours (sw),0.4234527687296417
oldsmobile cutlass supreme,0.4230769230769231
oldsmobile cutlass salon brougham,0.4230769230769231
plymouth fury,0.4222222222222222
plymouth valiant custom,0.4222222222222222
ford ltd,0.42165242165242167
mercedes benz 300d,0.4207650273224044
chevroelt chevelle malibu,0.42
chevrolet nova,0.42
chevrolet nova,0.42
chevrolet monza 2+2,0.4198473282442748
ford country,0.4175
chrysler lebaron town @ country (sw),0.4166666666666667
chevrolet monte carlo s,0.4142857142857143
chevrolet bel air,0.4142857142857143
chevy c10,0.4142857142857143
chevrolet malibu,0.4142857142857143
ford maverick,0.405
ford country squire (sw),0.4045584045584046
chevrolet chevelle malibu,0.4
pontiac firebird,0.4
chevrolet chevelle malibu classic,0.4
dodge aspen,0.4
chevrolet nova custom,0.4
chevrolet nova,0.4
amc matador,0.39473684210526316
mercury grand marquis,0.39316239316239315
ford granada,0.392
amc pacer,0.3879310344827586
amc concord dl 6,0.3879310344827586
amc hornet,0.3879310344827586
amc concord,0.3879310344827586
chrysler lebaron salon,0.37777777777777777
chevrolet impala,0.375
chevrolet monte carlo,0.375
chevrolet caprice classic,0.375
amc pacer d/l,0.3682170542635659
cadillac eldorado,0.35714285714285715
ford mustang,0.352
ford maverick,0.352
ford torino 500,0.352
oldsmobile cutlass salon brougham,0.34615384615384615
oldsmobile cutlass ciera (diesel),0.3244274809160305
ford granada ghia,0.312
oldsmobile cutlass ls,0.3
ford maverick,0.288
mercury monarch,0.288
ford pinto,
ford maverick,
renault lecar deluxe,
ford mustang cobra,
renault 18i,
amc concord dl,
